Review,Model,Endpoint,LLM,N,TP,FP,FN,TN,Sensitivity_pct,Specificity_pct,PPV_pct,NPV_pct,F1,Cohen_kappa,Model_missing_outputs
SR1,Model 1 (TF),Title screening,ChatGPT,1556,218,17,278,1043,43.95161290322581,98.39622641509433,92.76595744680851,78.9553368660106,0.5964432284541723,0.4924119444972775,51
SR1,Model 1 (TF),Title screening,Gemini,1556,115,7,381,1053,23.18548387096774,99.33962264150942,94.26229508196722,73.43096234309623,0.372168284789644,0.28177552749041124,1
SR1,Model 1 (TF),Title/abstract screening,ChatGPT,496,72,164,14,246,83.72093023255815,60.0,30.508474576271187,94.61538461538461,0.4472049689440994,0.25883143049026186,0
SR1,Model 1 (TF),Title/abstract screening,Gemini,496,44,53,42,357,51.162790697674424,87.07317073170732,45.36082474226804,89.47368421052632,0.48087431693989074,0.3639652286593596,0
SR1,Model 1 (TF),Full-text inclusion,ChatGPT,86,27,43,1,15,96.42857142857143,25.862068965517242,38.57142857142858,93.75,0.5510204081632653,0.16060337178349599,0
SR1,Model 1 (TF),Full-text inclusion,Gemini,86,21,25,7,33,75.0,56.896551724137936,45.65217391304348,82.5,0.5675675675675675,0.2734952481520591,0
SR1,Model 2 (nTF),Final inclusion,ChatGPT,1556,25,127,3,1401,89.28571428571429,91.68848167539268,16.447368421052634,99.78632478632478,0.27777777777777773,0.2551405172921699,11
SR1,Model 2 (nTF),Final inclusion,Gemini,1556,12,43,16,1485,42.857142857142854,97.18586387434554,21.818181818181817,98.93404397068622,0.2891566265060241,0.27178982771202875,2
SR1,One-shot (exploratory),Full-text inclusion,ChatGPT,1556,26,336,2,1192,92.85714285714286,78.01047120418848,7.18232044198895,99.83249581239531,0.13333333333333333,0.10338102317207912,139
SR1,One-shot (exploratory),Full-text inclusion,Gemini,1556,20,113,8,1415,71.42857142857143,92.60471204188482,15.037593984962406,99.43780744905129,0.2484472049689441,0.22541840143498962,107
SR2,Model 2 (nTF),Final inclusion,ChatGPT,3720,73,206,1,3440,98.64864864864865,94.34997257268239,26.16487455197133,99.9709386806161,0.4135977337110482,0.39455981281076324,0
SR2,Model 2 (nTF),Final inclusion,Gemini,3720,59,133,15,3513,79.72972972972973,96.35216675809106,30.729166666666668,99.57482993197279,0.443609022556391,0.42715876741746944,963
SR3,Model 1 (TF),Title/abstract screening,ChatGPT,746,101,229,0,416,100.0,64.49612403100775,30.606060606060602,100.0,0.4686774941995359,0.3297105145448982,3
SR3,Model 1 (TF),Title/abstract screening,Gemini,746,95,211,6,434,94.05940594059405,67.28682170542636,31.045751633986928,98.63636363636363,0.4668304668304668,0.3305405070096357,3
SR3,Model 1 (TF),Full-text inclusion,ChatGPT,101,50,22,10,19,83.33333333333334,46.34146341463415,69.44444444444444,65.51724137931035,0.7575757575757577,0.31116794543904536,25
SR3,Model 1 (TF),Full-text inclusion,Gemini,101,51,24,9,17,85.0,41.46341463414634,68.0,65.38461538461539,0.7555555555555556,0.2809061488673139,22
SR3,Model 2 (nTF),Final inclusion,ChatGPT,746,50,116,10,570,83.33333333333334,83.09037900874635,30.120481927710845,98.27586206896551,0.44247787610619466,0.3677796012806371,133
SR3,Model 2 (nTF),Final inclusion,Gemini,746,51,91,9,595,85.0,86.73469387755102,35.91549295774648,98.50993377483444,0.504950495049505,0.441834016700087,146
