Model,Measure,Q,df,p_value,I2_pct,inverse_variance_mean,SR1,SR2,SR3
ChatGPT,Sensitivity,11.303803524941115,2,0.003510833650391983,82.30684038706858,0.9715771151008735,0.8928571428571429,0.9864864864864865,0.8333333333333334
ChatGPT,Specificity,63.525648940429484,2,1.605390182987436e-14,96.85166537712117,0.9318913028750374,0.9168848167539267,0.943499725726824,0.8309037900874635
Gemini,Sensitivity,16.562833436580082,2,0.00025317826356220294,87.92477140062961,0.7806533042708459,0.42857142857142855,0.7972972972972973,0.85
Gemini,Specificity,58.96201988320266,2,1.5723892334299187e-13,96.60798594762903,0.9628715326606415,0.9718586387434555,0.9635216675809106,0.8673469387755102
